'Hi I&rsquo;m a Kara enthusiast'
'Man tai atrodo, kad tu visiškai teisi'
'Tuoj išsiaiškinsim 😉'
'Skalėje nuo 1 iki 869999999, koks tavo telefono numeris?'
'Tik bandau išsiaiškinti ar nemeluoji🤓'
'Bet toks paralelinis rezultatas irgi būtų ne pro šal 😊'
'Sakai labiau pasistengt reikės? 👀'
'Pala, bet tai tu Vilniuje išvis?😄'
'Tai koks tavo 👻?'
'ghostinimo meistrė esi &colon;&rpar;'
'na nežinau, gali pavyzdžiui perskaityt visą šitą chatą dar kartą, kad susidarytum geresnį supratimą 🤭'
'Ievos paveldi vyrų gundimo ir vedimo iš kelio prigimtį, tu matyt nebūsi išimtis 🥵😏'
'Duok numeriuką, susuksime meetuką 😎👉👉'
'Ačiū, Mama!'
'Aš irgi tikiuosi 🙄'
'Gražūs batai!'
'Ar tavo anima, tokia pat formosa kaip ir corpore? 😇'
'Austukai, labai gerai atrodai, noriu tave pažint, bet tu maivais'
'Ačiū'
'Iš kur esi'
'Ką tik pravažiavau'
'Kiek mes daug turim bendro'
'Iš sostinėss'
'Studijuoji&sol;mokais?'
'Lėksi kažkur?'
'Gal į Amerikę?'
'Kažkaip labai tiktų dabar vėl mano pirma žinutė'
'Skauda nugarą, nuo šio pokalbio nešimo 🙄'
'Jo sakai?'
'Ai mes čia žaidžiam tokį žaidimą, kad viską turiu atspėti apie tave, tau atsakinėjant po vieną žodį?😬'
'Studijuoju, šiaip Vokietijoje, bet dabar vasarą Lietuvoje leidžiu 😌'
'Nevisai greitai, tik rugsėjo28 prasideda semestras'
'Studijuoji medicininę informatiką &colon;&rpar;'
'Įdomi semestro pradžios data, ar studijų kryptis?😄'
'Nu Vokietija tai matyt mažiausiai įdomus čia veiksnys'
'O ir studijos ne ypatingos, tik paprastas programavimas, su kryptimi į sveikatos apsaugos sritį 🙌'
'Ką reiškia patinka 🤔'
'Nėra lengva, bet įdomu, ir visai prasminga &colon;&rpar;'
'O studijuoti reikia tik jeigu patinka?'
'Taip, niekas manęs neverčia, išskyrus mano paties valia &colon;&rpar;'
'Aišku fainiau, bet matyt tai ne vienintelis kriterijus renkantis studijuotiną dalyką, ar ne?'
'Tu ko gero dėl to ir imi gap&rsquo;ą, nes dar neapsisprendei ką&sol;ar studijuoti, ar ne?;&rpar;'
'O tai ką veiksi per tuos metus?'
'Tai kokia? Ir dar nepasakei tiksliai kur, JAV?'
'Nežinau nežinau, taip nepasitiki?'
'Bent valstiją pasakyk, įdomu labai &colon;&rpar;'
'Nu gal ir negaliu kaltint'
'Bet Korėja tai labai kietai skamba, turbūt nereikia klausti, kuri Korėja?🤓'
'Ei o tu gal modelis netyčia būsi!?😏'
'Ar dažnai tavęs klausia, ar tu modelis?'
'Bet aš girdėjęs, kad modeliai labai dažnai pasikėlę būna, tai tiesa?🙄'
'Na manau yra tik vienas būdas išsiaiškint 😎👉👉'
'Reikia pažinti žmogų asmeniškai, norint išsiaiškinti jo charakterį 😌'
'Ar nesutinki?'
'O kaip kitaip?'
'Tai gal ir galim'
'Gal duok savo snapchatą? Nes čia tam tindery visai nekaip chattint 😬'
'pradeda pildytis mano originalūs įtarimai 🙄'
'Kad modeliai pasikėlę 🙌'
'prašau paneikite šį teiginį 🙂'
'Nes jie yra objektyviai gražesni, nei kiti, ir tada natūraliai gauna daugiau dėmesio iš kitų, todėl gali rinktis su kuriais bendrauti ir su kuriais neverta net atsakyti į “mirtingųjų&rdquo; išreikštą susidomėjimą jais'
'Nori pasakyt, kad nesi atsirinkusi žmonių, nevisada pagal vidines savybes?'
'Tikrai tikrai? Absoliučiai visada?'
'Aš norėčiau taip drąsiai teigti, kaip tu sakai, bet bijau, kad nevisada pavyksta, vis tiek išvaizda yra tas dalykas, kurį pirmiausiai pamatai, ir tada natūraliai jau susidarai įspūdį - ar tas žmogus vertas mano laiko, ar ne'
'Aišku, kaip man, tai ta kartelė yra labai maža, tai daug ir nebūna tokių žmonių, su kuriais neužmezgu kontakto vien tik dėl išvaizdos, bet nenoriu meluot, kad su visai bendrauju &colon;&rpar;'
'Tai kaip manai, ar aš vertas tavo laiko?'
'Nes noriu sužinoti ar negaištam vienas kito laiko &colon;&rpar;'
'Atsakymas kaip ir aiškus tada 🤙'
'Koks tavo mėgstamiausias ledų skonis?🍦'
'Radau čia besimėtant pajūry, gal netyčia pametei?🙄'
'Tiesiog atrodai kaip karalienė, dėl to taip pamaniau 😌'
'Iš Vilniaus'
'nori gal savo snapchat&apos;ą duot? čia labai vangus tas susirašinėjimas per tinderi 🙂'
'Gal tu iš Elektrėnų? Nes nutrenkei mane savo aukšta įtampa 😵'
'Kitą kartą kai varysiu žvejot pasiimsiu tave'
'Nes ant tavęs gerai kimba 😎👉👉'
'Ne šiaip iš tikrųjų dėl tinklinių pėdkelnių  taip parašiau'
'O kokia čia proga buvo?🤔'
'Coool, kur čia taip?'
'O tai ir esi iš Kauno?'
'Uuu žemaitė'
'Kaune irgi žematiškai kalbi?🤔'
'Nu mes trys vyrukai, manau susitvarkysim'
'Kur susitinkam?'
'Tai einam'
'Gali pasiimt 5drauges ir duosim'
'Prašau nesikekite🙄'
'Bet pasiūlymas išlieka'
'Nee taip jau neveikia'
'Tai jūs dar mieste?'
'Tikiuosi jums buvo smagus vakaras 😊'
'Ir tada nuo tilto šokom'
'Juokauju'
'Tai kodėl vakar nesusitikom ką'
'Tai kokių gi'
'Tai nenorėjot priimt į kompaniją?'
'Na gaila gaila, o tai ir nėjot į miestą visai?'
'Tavo bio 🥰🤩🤯😩🤑'
'Labas, pasigedau tavęs basanovoj'
'Radau čia besimėtant pajūry, gal netyčia pametei?🙄'
'Labas, Monika, pažaidžiam žaidimą 👇\nTavo pasirinkimas&colon;\nAkys ar Plaukai?\nLabai gera atmintis ar sakalo akys?\nGražios vestuvės, bet nuobodus medaus mėnuo, ar atvirkščiai?\nNorėtum labiau geros karjeros ar geros šeimos?\nRyt gauti $1000 ar po metų $1000000?\nSusitikti su Cristiano Ronaldo ar Brad&rsquo;u Pitt&rsquo;u?\nKavos pupelės ar malta kava?\n😏 ar 😉 ?'
'Na labai labai įdomios įžvalgos'
'Šiaip iš tiesų tai tiesiog, su savo pasirinkimais lyginčiau'
'Turiu pripažinti, jog visai panašūs, išskyrus emojio pasirinkimas 😏'
'Bet išties čia dar gilesnė prasmė yra paslėpta'
'Perskaityk mano pirmos žinutės kiekvieno sakinio pirmą žodį 😎👉👉'
'Tai tada pakeisk tą ketvirto nuo galo sakinio pirmą žodį į “užporyt&rdquo; ;&rpar;&rpar;'
'Taip!!'
'Labas, Kamile, pažaidžiam žaidimą 👇\nTavo pasirinkimas&colon;\nAkys ar Plaukai?\nLabai gera atmintis ar sakalo akys?\nGražios vestuvės, bet nuobodus medaus mėnuo, ar atvirkščiai?\nNorėtum labiau geros karjeros ar geros šeimos?\nRyt gauti $1000 ar po metų $1000000?\nSusitikti su Cristiano Ronaldo ar Brad&rsquo;u Pitt&rsquo;u?\nKavos pupelės ar malta kava?\n😏 ar 😉 ?'
'Labas, Eimante, pažaidžiam žaidimą 👇\nTavo pasirinkimas&colon;\nAkys ar Plaukai?\nLabai gera atmintis ar sakalo akys?\nGražios vestuvės, bet nuobodus medaus mėnuo, ar atvirkščiai?\nNorėtum labiau geros karjeros ar geros šeimos?\nRyt gauti $1000 ar po metų $1000000?\nSusitikti su Cristiano Ronaldo ar Brad&rsquo;u Pitt&rsquo;u?\nKavos pupelės ar malta kava?\n😏 ar 😉 ?'
'Kuris Tomas labiau prie širdies, Akvinietis ar Moras?🧐'
'Taip čia priklauso nuo to, ar eisim kavos ar ne! ☝️'
'Ne, juokauju, tiesiog jie buvo du veikėjai, visai stipriai įtakingi moderniai politikai, galvojau gal turi favoritą 😌'
'Tiesą sakant truputį nesąžiningas tas mano klausimas. Jie abu visiški autoritetai, ir gyveno labai skirtingais laikais, tai negalima lyginti tikrai. Bet taip bendrai paėmus, tai Akvinietis vienas svarbiausių krikščioniškosios filosofijos atstovų, tai jis tikrai didesnis favoritas ✌️'
'Tai tikrai taip, nesiginčiju, bet Akvinietis apskritai laikomas vienu didžiausiu Bažnyčios tėvų &colon;&rpar;'
'Šiaip tiesiog domiuosi, manau kiekvienas save laikantis krikščionimi turėtų domėtis;&rpar;'
'Tikrai taip, laikau save tokiu 😌'
'O tu kuo save laikai?;&rpar;'
'Visiškai sutinku, gal ir reikėtų patikslinti tada, manau, kad ESU katalikas &colon;&rpar;'
'O kas padaro žmogų kataliką? Vaikščiojimas į mišias kiekvieną sekmadienį? 🤔'
'Aha, nu visai išsamiai čia parašei, bet manau tas asmeninis ryšys su Dievu yra toks visai nevienareikšmiškas dalykas, manau daug kas skirtingai jį supranta'
'Ar įmanoma tai apibrėžti, ir ar yra toks dalykas, kaip geras&sol;tinkamas ryšys?🤔'
'Aha, nu man vis tiek nelabai aiškiau pasidarė 😄'
'Suprantu, kad čia aukštas dvasinio gyvenimo lygmuo, bet kaip reikėtų suprasti Dievo statymą į pirmą vietą?'
'Šiaip tikrai neblogai paaiškinai, ačiū, turėsiu mintyje ;&rpar;'
'O tu gal rimtai esi buvus kokia katechetė?😄'
'Wow, didelė pagarba, rimtai ✌️'
'Kuriai parapijai priklausai?'
'Mano irgi teoriškai Rapolo parapija, bet jau ilgokai Katedroje tarnauju &colon;&rpar;'
'Atostogos tik nuo mokslų ;&rpar;'
'Taip išeina, bet lygtais nemaža yra ta parapija, aš žirmūnuose gyvenu 😌'
'Jo tiesa sakant neįsivaizduoju, ten tik pirmąją komuniją esu priėmęs ir viskas &colon;D'
'O Kryžiaus bažnyčia tai čia ta Kalvarijose, ar prie Stuokos-Gucevičiaus paminklo?🤔'
'Geras, šiaip net nesu niekada ten buvęs, bet visai jauki tokia bažnytėlė atrodo'
'Ten reguliariai vyksta mišios ar adoracijos kokios nors?&colon;&rpar;'
'Pala Opus Dei labai girdėta, ar tik nebuvo kun. Gabrielius Satkauskas irgi toj bendruomenėje?🤔'
'Jo, kad ateitinkuose buvo, tai žinau, bet lygtair ir Opus Dei, nu bet gal ir maišau &colon;&rpar;'
'O kuo ypatinga šiaip Opus Dei bendruomenė?'
'Tai šiaip tai čia tiesiog “darbas&sol;tarnystė Dievui&rdquo; reiškia, bet nežianau, kaip čia tiksliai suprast, kuo bendruomenė ypatinga 😄'
'Spėčiau, kad gal labiau tradicinė, negu ateitinkai, jeigu jau taip nuo jų atsiriboji ;&rpar;'
'Aha, o tai kaip dėl to tradiciškumo-atsinaujinimo klausimo, kurioj spektro pusėj yra Opus Dei?;&rpar;'
'Nu tiesiog, ar idėjiškai labiau tokia tradicinė ar labiau progresyvi bendruomenė?'
'O ką reiškia liko nesuprasta? Ir kokio senumo yra ji apskritai tada?'
'Aha, bet tai čia visai key, ne. Juk gi daug Bažnyčios istorijoje Šventųjų, kurie buvo paprasti pasauliečiai'
'Kotryna Sienietė pvz'
'Nors bendrai jo, matyt mažuma palyginus su visokiais popiežiais ir vienuoliais'
'Nu jo šiaip visai gaila'
'Bet tai nori pasakyti, kad absoliučiai bet kas gali būti šventas?'
'Tu gal studijuoji fiziką?🤔'
'Spėjau todėl, nes kažkodėl jaučiu labai stiprią gravitacinę trauką tau 😎👉👉'
'Čia net ne pun&rsquo;as, čia visas pickup line&rsquo;as 😉 bet ačiū stengiausi &colon;&rpar;&rpar;'
'Studijuoju Vokietijoj&colon;&rpar;'
'Nepatikėsi, bet studijuoju medicininę informatiką, kažkaip atrodo lyg žinodama tuos 2 spėjai 😌'
'Wow, tikrai matosi, kad pasidomėjusi 😁'
'O iš kur esi tada, jei ne paslaptis?;&rpar;'
'Jo žinau, buvęs &colon;&rpar;'
'Visai faini tie kultūros rūmai, tas šviečiantis medis cool ✌️'
'2018tais buvo gi Lietuvos kultūros sostinė, tai nusprendėm aplankyti ;&rpar;'
'O šiaip jo, vilnietis &colon;&rpar;'
'Jo, tai jau antri metai praėjo, viskas normaliai, ir studijų ir socialinio gyvenimo prasme atrodo gerai kaip ir'
'Šiaip net nebuvo, kad kažkaip labai skirtingai jausčiausi kitoje aplinkoje, gal tik kelios pirmos savaitės priprasti, bet vėliau tai labai greitai pripratau'
'Gal dėl to, kad vokiškai jau normaliai prieš atvykstant mokėjau &colon;D'
'O kaip tau aplinkos pakeitimas pavyko? Patenkinta sprendimu?;&rpar;'
'O kas Vilniuj šiaip patinka? Man įdomu išgirsti iš ne vietinio žmogaus, ką nors apie hometown&rsquo;ą &colon;D'
'Matyt per laiką vis naujų dalykų atrandi, bet kas šiaip, taip labiausiai įstrigę yra, arba tiesiog koks pirmas įspūdis apsilankymo&sol;pradėjimo čia gyventi buvo?&colon;&rpar;'
'Jo, architektūra tai tikrai išskirtinė čia, o bažnyčių kiekis senamiestyje tai apskritai vienas didžiausių visoje Europoje, ir jų architektūrinių stilių įvairovė irgi žiauriai didelė, labai pasigendu to Vokietijoje, kur viskas arba tokia atstatyta neogotika arba tas blankus Bauhaus&rsquo;as 😄'
'O bažnyčias aplankyt tai galima ne tik sekmadieniais, ar dėl kokios nors specifinės priežasties būtent sekmadieniais eini? 😉'
'Hmm įdomu, aš irgi esu šiaip baigęs katalikišką gimnaziją, bet irgi nepasakyčiau, kad būtent tikybos pamokų turiniu remiu savo tikėjimą &colon;DD'
'O šiaip dabar įdomu pasidarė, su kokiais Bažnyčios mokymais iš esmės nesutinki, jeigu, kaip pati sakai, vis tiek į bažnyčią vaikštai?🤔'
'Aha, ačiū už labai išsamų atsakymą, kaip ir suprantu tavo pažiūras, bet tik noriu pasitikslinti, ką tu turi omeny, kai sakai, kad Bažnyčia nusistačiusi prieš homo-,trans-, ir visokius kitokius seksualus?🤔'
'O kas yra neteisinga, kad santuoka neleidžiama tos pačios lyties žmonėms, ar kad homoseksualūs santykiai yra nuodėmė? Ar abu?&colon;D'
'&colon;D Taigi aš tik bandau išsiaiškint tavo poziciją, kaip aš galiu prieštarauti, net nežinodamas tiksliai ką tu galvoji 😊'
'Tiesiog, jeigu galvoji, kad tai yra neteisinga, man įdomu kodėl, taip manai? Turbūt turi tam priežasčių vis tiek &colon;&rpar;'
'Labas, Ramunė, pažaidžiam žaidimą 👇\nTavo pasirinkimas&colon;\nAkys ar Plaukai?\nLabai gera atmintis ar sakalo akys?\nGražios vestuvės, bet nuobodus medaus mėnuo, ar atvirkščiai?\nNorėtum labiau geros karjeros ar geros šeimos?\nPoryt gauti $100 ar po metų $10000?\nSusitikti su Cristiano Ronaldo ar Brad&rsquo;u Pitt&rsquo;u?\nKavos pupelės ar malta kava?\n😏 ar 😉 ?'
'Norėjau pajuokauti susiejant tavo vardą su muzikos instrumentu, bet tai būtų labai lėkšta 📀📀'
'Tikrai taip ✌️'
'O tu vilnietė?'
'Manyje italo tiek pat, kiek ant picos turėtų būti ananasų 🙄'
'Bet man labiau arfa žinok patinka 😬'
'Arfa tiesiog ta vyresnė ir labiau patyrus sesė'
'Bet gal ir jaunesnės turi privalumų 😏'
'Tai sakai galėsiu su tavimi pagroti Mocarto 4. Simfoniją c-dur? 😎👉👉'
'Tekėsi už manęs?🍩'
'Žinok nepatikėsi, aš irgi centre, bet tik po penkių atsilaisvinu &colon;&sol;'
'Nu žinok bijau, kad sunkiai visgi šiandien &colon;&sol;&sol;'
'Labas, Marta, pažaidžiam žaidimą 👇\nTavo pasirinkimas&colon;\nAkys ar Plaukai?\nLabai gera atmintis ar sakalo akys?\nGražios vestuvės, bet nuobodus medaus mėnuo, ar atvirkščiai?\nNorėtum labiau geros karjeros ar geros šeimos?\nPoryt gauti $100 ar po metų $10000?\nSusitikti su Cristiano Ronaldo ar Brad&rsquo;u Pitt&rsquo;u?\nKavos pupelės ar malta kava?\n😏 ar 😉 ?'
'Labas, Gabriele, pažaidžiam žaidimą 👇\nTavo pasirinkimas&colon;\nAkys ar Plaukai?\nLabai gera atmintis ar sakalo akys?\nGražios vestuvės, bet nuobodus medaus mėnuo, ar atvirkščiai?\nNorėtum labiau geros karjeros ar geros šeimos?\nPoryt gauti $100 ar po metų $1000000?\nSusitikti su Dragūnu ar Jasikevičiumi?\nKavos pupelės ar malta kava?\n😏 ar 😉 ?'
'Nu kaip čia gražiai išsisukai iš mano klausimų &colon;&rpar;&rpar;'
'Pvz. aš nemanau, kad reikia mesti vieną dalyką, dėl kito, tiesiog klausiau, ką labiau vertini, ar šeimą ar karjerą? 😌'
'Labas! Kaip manai, pakankamai išlaukiau, kad parašyčiau pirmą žinutę?&colon;&rpar;&rpar;'
'taip, aš labai gerai moku google versti!'
'tik iš šitų nuotraukų sprendžiant, tai galėčau gal tiesiog turistas būti 🤔'
'Arba koks nors antros kartos emigrantas be pilietybės grįžtantis į Lietuvą tik per šventes 🙄'
'va čia tai pickup line&rsquo;as, nepažįstama kalba pasisveikinti &colon;DDD'
'&colon;Dd tai reiškia neblogą kolekciją jau turi, gali gal pasidalinti keliais perliukais? 😉'
'o tai tu pati keliauji ar čia pas tave į Vilnių atkeliauja užsieniečiai?'
'Tai aš per šitą karantiną gal tik kartą į LT nulėkęs buvau, čia jeigu pastebėsi, mes jau iš seniau susimatchinę buvom, kai dar fiziškai buvau Vilniuj 🙂'
'Per tokį laiką praktiškai jau ir susituokt galima &colon;&rsquo;&rpar;'
'Labai pasistengus tai visus 2'
'Nebent dvynukai 🤔'
'Bet vis tiek susituokt prieš tai reiktų'
'Nu man tai tokių šposų nebus 🙄'
'Tik po vestuvių 😤'
'Karantinas matyt kaltas ir dėl mūsų buvimo tinderyje, ar ne? 😉'
'Nu ir kadangi jau ir karantinas į pabaigą tai ir tinderio nuotykiai į pabaigą jaučiu'
'Jeigu dar neišsitrynei šito appso, gal nori duoti savo snapchatą, kad kada nors pratęstume šitą pokalbį ;&rpar;'
'Labas, atrodo, kad truputį persistengiau su šita paso funkcija, nes jau visiškai nebesigaudau&colon; iš kur esi? &colon;&rpar;'
'Kaip gerai, kad neatsakei prancūziškai, nes blogiausiai iš visų kalbų moku 😅'
'O tai iš kur esi, jeigu tiksliau? 😏'
'kokios tos kalbos?;&rpar;'
'O kur gimusi esi, jei ne paslaptis? 😉'
'O tėvai tom kalbom kalba, kad jas išmokai ar kaip? 🙂'
'Nu stiliaus klaidų tai tikrai nepastebėjau, ir čia tikrai manau net ir visi ‘etniniai&rsquo; lietuviai nemoka taip puikiai be stiliaus klaidų rašyt 😂'
'O apie lenkavima tai jo, matyt tikrai egzsituoja dalykas, bet čia matyt labiau apie sintaksinius dalykus yra kalbama, bet to tai tikrai nepastebiu 😏'
'Labai gerbiu, kad gerbi kalbą 🙌'
'o akcento turėjimas tai tik parodo, kad esi talentinga ir nesidrovi kalbėti ne tik gimtąja kalba 😉'
'O jeigu jau prakalbom apie kalbas, gal nori apsikeisti numeriais?😉'
'Pala o kur čia tokie safety tips? Net nežinojau, kad egzistuoja 😅'
'Geras, perskaičiau tuos tippsus, labai informatyvūs iš tiesų 🧐'
'Na tikrai taip ☑️'
'Tuo tarpu, to negalėčiau apie tave pasakyti 😏😏'
'O iš kur aš galiu žinoti, kad iš viso esi mergina? 🤔😬🙄'
'Pati žinai kiek čia tų fake profilių yra 😬😬'
'Taigi juokauju, viskas gerai, tikrai neįžeidei nebijok 😅😅'
'Aš jeigu ką tai pasitikiu tavimi, kad esi ta, kaip save pristatai čia 😏 bet niekada objektyviai nesužinosiu, kol nepamatysiu gyvai 😄'
'Nu kaip čia pasakius, geriausia tikėtis blogiausia 😅 gal kaip tik geriau tikėtis geriausio, bet būti pasiruošusiam blogiausiam 😏'
'Labai validus klausimas &colon;&rpar;'
'Jo, jau antrus metus studijuoju ir gyvenu Vokietijoje, bet dabar, tiesa sakant tokiai labai neįprastai situacijai susiklosčius, jau paskutinius beveik 2 mėnesius gyvenu Vienoje 🇦🇹 😁'
'Nes atvykau čia kovo pradžioje prieš prasidedant vasaros semestrui dviejom savaitėm, ir tada tiesiog atšaukė fizines paskaitas ir uždarė sienas 😂😂'
'tai likau čia, gerai, kad turiu kur gyvent 🙂'
'Tai jo, jau ne tik pakeliavau, jau praktiškai vietinis čia tapau 😌'
'Tu gal esi buvus?'
'Bet šiaip mėgsti pakeliaut?&colon;&rpar;'
'Pasakyk kokią nors įdomią vietą kurią esi aplankius 😊'
'O geras, Amerikoj esi buvus, aš tam Ilinojaus ir Mičigano krašte nesu buvęs, bet gyvenau metus Pensilvanijos miestelyje Carlisle, tai teko rytinę pakrantę patyrinėt ir dar kartą į Floridą nuvažiuot bei į Nevadą ir Arizoną nuskrist 😌'
'O šiaip nėra netgi, kad taip labai daug keliauju, tiesiog, va dabar kai gyvenu Vokietijoje, tai stengiuosi išnaudoti atstumų artumą iki įvairių įdomių vietų'
'Be Amerikos tų devynių mėnesių, nesu netgi buvęs iš Europos iškeliavęs nė karto 😄'
'Kaip tik netgi labiau esu nuomonės, kad reikia gerai ir išsamiai išsinagrinėti ir apkeliauti savo kraštą ir artimą aplinką, prieš explorinant kitas šalis ir ypač kultūras 😌'
'Labai gerai pasakei, man atrodo svarbiau už viską nėra tik kelionė, bet ir kažkoks tikslas, kad ir abstraktus, bet kurį kažkaip apsibrėži ir kuris būna prasmingas'
'Pavyzdžiui niekada nesuprasiu žmonių, kurie skrenda į kokias nors ten Mikronezijos salas, kad pasedėtų viešbuty, pasimaudytų baseine ir įkeltų nuotraukų į instagramą'
'aišku, gal čia jie taip atsipalaiduoja labiau, bet aš kai pats visai ne megėjas poilsinių kelionių ir tai matyt sunku man juos suprast &colon;&rpar;'
'Nes kad ir nuvykus į kokį nors kurortą, man nesinori tik sedėti vietoj, galvoju, jeigu jau turi progą, tai reikia susipažinti su vietine aplinka'
'Pavyzdžiui buvau Odesoj praitą vasarą, tai ten viskas gerai, fainas didelis paplūdimys, pigūs šalti gėrimai ir maistas, žodžiu visos sąlygos sedėti visą dieną prie jūros ir degintis. Bet be to, Odesa yra ir labai labai senas ir pilnas istorijos miestas, tai kai draugai nenorėjo, variau kad ir vienas vaikščioti ir explorinti senamiestį 😁'
'Tikrai tikrai taip 😌'
'labai šiaip sutinku, su tavąja filosofija, matosi, kad nesi paviršutiniška asmenybė 😏'
'Faina, kad tau miela su manimi bendrauti, nors aš to ir išskirtinai nesiekiu 😁 tiesiog rašau ką galvoju ir pastebiu 😊'
'Kartais reikia ir tik pasidžiaugti ;&rpar;'
'Bet žiūrėk dar sugalvojau, pažaidžiam vieną žaidimą'
'Ema, \nTavo pasirinkimas&colon;\nAkys ar Plaukai?\nLabai gera atmintis ar sakalo akys?\nGražios vestuvės, bet nuobodus medaus mėnuo, ar atvirkščiai?\nNorėtum labiau geros karjeros ar geros šeimos?\nVasarą turėti vilą pajūry ar žiemą trobelę kalnuose?\nSusitikti su Cristiano Ronaldo ar Brad&rsquo;u Pitt&rsquo;u?\nKavos pupelės ar malta kava?\n😏 ar 😉 ?'
'&colon;DD man atrodo norėjai pasakyti “vos neperšikau&rdquo;, toks yra teisingas išsireiškimas, kai išsigąsti 😆 bet viskas gerai, mokomės 😉'
'Aha aha, labai gerai apgalvok tą paskutinį atsakymą, labai daug ką jis lemia 😉'
'Nu gerai, o jeigu nesidomi nei Ronaldo nei Pittu, tai šiaip atsakyk, Sportas ar Menas?'
'Nu tiesiog, kas labiau patinka, labiau kas prie širdies? &colon;&rpar;&rpar;'
'tai interpretuok kaip išeina 😉'
'dar nesugalvojai atsakymo?&colon;D'
'Jo, sakai ne taip svarbu gražios vestuvės?'
'Nežinau ką tu jauti 🙃'
'Bet matyt ką nors jau grandioziško susiplanavus esi medaus mėnesiui 😉'
'Pritariu dėl vestuvių ☺️'
'Kaip tik sakyčiau, kad labai čia yra brandus požymis iš tavo pusės, kad realistiškai apie santykius galvoji &colon;&rpar;'
'Nes labai daug pažįstu merginų, kurios jau prieš metų metus savo vestuvių puotą susapnavo ir susiplanavo 😆'
'Vėlgi pritariu'
'Aš tai taip sakant, “mėgstu pasikloti savo lovą, prieš pradėdamas keisti pasaulį&rdquo; 🤗'
'Kodėl gi negali teigti, kad gera ar bloga? 🤔'
'Vienas iš išminties įgavimo būdų ir yra toks, kad sugebi atpažinti, kas yra gera ir kas bloga 🧐 tai galima daryti pasitelkiant analitinį metodą, kai būna argumentuotai pagrindžiama nuomonė'
'Tai šiuo atveju, galėčiau tavęs paklausti, kodėl manai, kad tai geras požiūris, ir jeigu gebėtum pagrįsti, tai tai tikrai būtų tinkamas vertinimas 😉'
'Bet man labai patinka, kaip tu racionaliai mąstai, ir nebandai savęs iškelti'
'Iš kitos pusės, nebijok daugiau pasitikėti savimi 😉'
'Jo būtent, aišku senovės graikai šiek tiek kitokį supratimą turėjo, jie apskritai galvojo, kad išminties gryniausia jos forma net neįmano įgauti, nes tai jau yra metafizinė savybė, tačiau tai netrukdo žmogui bandyti jos siekti ir ieškoti tiesos'
'Mano manymu tikslesnė šios minties citata būtų prancūzų matematiko Blezo Paskalio&colon; “Visos žmonijos problemos kyla iš žmogaus negebėjimo tyliai sedėti kambaryje vienam&rdquo;. Ją labai lengva misinterpretuoti, bet leidžiu tau pabandyti tai padaryti 😏'
'Pabandyk teisingai interpretuoti aišku ;&rpar;'
'Jeigu nemanyčiau, kad sugebėtum, neleisčiau ;&rpar;'
'nu manau, kad labai išsamiai ir išmintingai atsakei 😌'
'čia manau netgi giliau nukeliavai, negu pats Paskalis galvojo, bet tikrai ne į pievas 😉'
'nes jeigu paprastai sakant, tai lengvai galima interpretuoti šitą citatą, taip, kad maždaug pasauliui trūksta introvertų, kurie tiesiog sėdėtų kambaryje  ir galėtų gyventi pavieniui. '
'Bet būtent tie patys graikai šį metodą - tam tikrą &lpar;nebūtinai ilgą&rpar; laiko tarpą ramiai sėdėti ir mąstyti vienam, laikė labai svarbia praktika semtis išminties'
'o pats Paskalis, būdamas praktikuojantis katalikas, sakydamas, jog visos pasaulio problemos kyla iš to, norėjo pasakyti, jog žmonės dažnai galvoja, kad jų gyvenimas yra tik jų galioje ir viską jie gali išspręsti iš empirinių patirčių. Kai iš tikrųjų yra priešingai - žmogus turi nuolat prisitaikyti prie esamos situacijos, ir tai jis padaro pasitelkdamas savo sukauptą išmintį bei stiprų dvasingumą 🙂'
'Taip ryškiai nekategorizuočiau, nes moku ir mėgstu kartais ir vienas pabūt, bet šiaip tikrai ir atviro bei aktyvaus bendravimo nepabijau 😄'
'O tu kaip?'
'Joo tai čia manau visiems, todėl ir nemėgstu taip kategorizuot &colon;D'
'😄 nu ačiū ačiū, čia visai stiprūs žodžiai, nežinau ar tik susirašinėjimo užtenka, kad taip įvertintum, bet malonu 🙂'
'Man irgi atrodo, kad tu nesi tiesiog įprasta mergina, o dar įskaitant tai, jog netgi ne lietuviškoje šeimoje augai, tai dar labiau įspūdinga, kad šitaip konstruktyviai mintis reiški 😉'
'ai bet o aš taip ir nepaklausiau, tu lenkišką ar lietuvišką mokyklą esi baigus?&colon;D'
'Aai matai kaip, tai tau 18 iš tikrųjų?😉'
'Ai ne pala, gali būti ir 19 tau 🤔'
'Aai tiesa sakei gi, kad Čikagoj buvai'
'O tai neužsiskaitė metai?'
'Suupratau, tai o kurioj klasėj buvai manų programoje?'
'Ai nu tai tada jo, gal ir logiška, kad kartojau, aš 9toj buvau, tai man tikrai didelių sunkumų nebuvo į 10tą grįžti'
'Nors kaip ir pati matyt žinai, tas mokymasis amerikietiškam high school&rsquo;e tikrai žemesnio lygio 😆'
'Tai taip taip, manau tikrai teisingą sprendimą priėmei &colon;&rpar;'
'Manau tuo pačiu kaip ir labai didelė dauguma, tiesiog iš įdomumo 😌'
'Turiu nusistatęs sau tokią taisyklę, kad nenaudoju tinderio ten kur gyvenu, tai šiaip aš jo iš viso nenaudoju realiai'
'Bet būna, kad kai keliauju atsisiunčiu, kad šiaip kontingentą apžvelgčiau, taip sakant 😂'
